iter	Passed	Remaining
422	2293	3128
423	2306	3133
424	2313	3130
425	2322	3128
426	2329	3125
427	2337	3123
428	2344	3121
429	2352	3118
430	2361	3117
431	2371	3117
432	2378	3115
433	2386	3112
434	2394	3110
435	2403	3108
436	2412	3108
437	2419	3104
438	2425	3100
439	2436	3101
440	2446	3100
441	2455	3100
442	2465	3100
443	2474	3099
444	2484	3098
445	2490	3093
446	2498	3091
447	2504	3086
448	2512	3083
449	2518	3078
450	2524	3073
451	2532	3070
452	2541	3068
453	2551	3068
454	2560	3066
455	2568	3064
456	2576	3061
457	2584	3058
458	2593	3057
459	2602	3055
460	2611	3053
461	2620	3051
462	2627	3047
463	2634	3043
464	2644	3042
465	2652	3039
466	2661	3037
467	2666	3031
468	2678	3032
469	2689	3032
470	2695	3027
471	2701	3022
472	2712	3022
473	2720	3018
474	2727	3014
475	2733	3008
476	2740	3004
477	2745	2998
478	2752	2993
479	2762	2992
480	2767	2985
481	2775	2982
482	2782	2978
483	2788	2972
484	2793	2966
485	2800	2961
486	2806	2956
487	2811	2950
488	2817	2944
489	2823	2939
490	2831	2935
491	2838	2930
492	2845	2926
493	2852	2921
494	2859	2916
495	2866	2913
496	2876	2911
497	2882	2905
498	2888	2900
499	2892	2892
500	2898	2886
501	2904	2881
502	2908	2873
503	2913	2867
504	2919	2861
505	2924	2854
506	2928	2847
507	2935	2842
508	2939	2835
509	2943	2827
510	2951	2824
511	2955	2817
512	2959	2809
513	2966	2804
514	2971	2797
515	2975	2791
516	2982	2786
517	2987	2779
518	2991	2772
519	2998	2767
520	3003	2761
521	3008	2754
522	3014	2749
523	3019	2742
524	3023	2735
525	3029	2730
526	3035	2724
527	3040	2718
528	3047	2713
529	3051	2706
530	3058	2701
531	3064	2696
532	3069	2689
533	3074	2682
534	3080	2677
535	3084	2670
536	3089	2663
537	3095	2658
538	3100	2651
539	3106	2646
540	3112	2640
541	3116	2633
542	3121	2627
543	3128	2622
544	3132	2615
545	3137	2608
546	3144	2603
547	3148	2596
548	3152	2589
549	3159	2585
550	3164	2578
551	3169	2572
552	3176	2567
553	3182	2561
554	3187	2556
